Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bazarbackdoor,0.9220000000000002,0.028682166352398585,0.9559099629817936,0.03536497956804084,0.886,0.04506291897632317,0.9187907795617039,0.030620580470144074,0.04199999999991601,0.03477547028191705,0.885999999998228,0.04506291897623305,0.002091521739959668,0.0003537243935765597
bazarbackdoor_v2,0.8696666666666667,0.028691849404007097,0.9509594785425339,0.03890132675692912,0.7813333333333335,0.05339995838533543,0.8563090914055141,0.034815248344462243,0.04199999999991601,0.03477547028191705,0.7813333333317707,0.05339995838522862,0.00183565394083654,0.0001669709390090888
bazarbackdoor_v3,0.5303333333333333,0.023732303348436755,0.7336775261775262,0.18522505040399412,0.1026666666666667,0.04434210439550904,0.1762480957925166,0.06942187753075546,0.04199999999991601,0.03477547028191705,0.10266666666646132,0.044342104395420356,0.002110596656799267,0.0003201381076083885
bigviktor,0.572,0.02821347195933175,0.8341400647283002,0.1213941440717049,0.18600000000000003,0.05589275444992848,0.29910479307893595,0.0756781917601081,0.04199999999991601,0.03477547028191705,0.185999999999628,0.05589275444981669,0.0018127878506977854,0.00018826944254561484
bumblebee,0.9273333333333335,0.025157283018817592,0.9564700574396215,0.03495725088835192,0.8966666666666666,0.03617856946990702,0.9249553792950163,0.026068518007479745,0.04199999999991601,0.03477547028191705,0.8966666666648735,0.036178569469834686,0.0022499440511067215,0.0004516779637858352
ccleaner,0.9480000000000001,0.02343786110832924,0.9586262573025172,0.03279076499863827,0.9380000000000001,0.042379240200834174,0.947258617352825,0.024439188462237735,0.04199999999991601,0.03477547028191705,0.9379999999981238,0.04237924020074943,0.0018440766334533202,0.00018088609475165718
dmsniff,0.9596666666666668,0.03970586298716544,0.9588832493155001,0.033384353890549966,0.9613333333333335,0.06790843508398316,0.9587519612188121,0.042323384359846825,0.04199999999991601,0.03477547028191705,0.9613333333314105,0.06790843508384733,0.0020720264911651127,0.00032734045989872763
enviserv,0.9690000000000001,0.018321208111548415,0.9600287374326274,0.03197567853054059,0.9800000000000001,0.015491933384829683,0.9695596559813109,0.017604637708074005,0.04199999999991601,0.03477547028191705,0.9799999999980398,0.01549193338479868,0.0019512000878651448,0.00031279660853234686
fosniw,0.47900000000000004,0.017387735140993295,0.0,0.0,0.0,0.0,0.0,0.0,0.04199999999991601,0.03477547028191705,0.0,0.0,0.001977510054906159,0.0002694525526039072
goz,0.9789999999999999,0.01738773514099332,0.9607438693176762,0.03150343954753841,1.0,0.0,0.9797134017574144,0.01652966323704492,0.04199999999991601,0.03477547028191705,0.9999999999979999,0.0,0.0020647706985473147,0.00034014716608171425
gozi_rfc4343,0.8320000000000001,0.029028721409436315,0.9460634725212276,0.042805965528490766,0.7059999999999997,0.0539505946831605,0.8068784420165148,0.038592523398967966,0.04199999999991601,0.03477547028191705,0.705999999998588,0.053950594683052584,0.0019189894199370854,0.00023669575659093566
infy,0.7386666666666668,0.040474957964428106,0.927476212818674,0.057881284081764794,0.5193333333333334,0.07402402012560218,0.6626192173566278,0.06368120216235364,0.04199999999991601,0.03477547028191705,0.5193333333322946,0.07402402012545413,0.0021168520450591537,0.000353996474310626
monerodownloader,0.9763333333333333,0.01779200819344337,0.9605584332768943,0.031559456326803535,0.9946666666666667,0.01024152766382482,0.9770148038418597,0.01700954041625056,0.04199999999991601,0.03477547028191705,0.9946666666646773,0.01024152766380431,0.0018610820770263183,0.00016402206244848
newgoz,0.9789999999999999,0.01738773514099332,0.9607438693176762,0.03150343954753841,1.0,0.0,0.9797134017574144,0.01652966323704492,0.04199999999991601,0.03477547028191705,0.9999999999979999,0.0,0.0021995360056558757,0.00037060937601940457
ngioweb,0.8476666666666667,0.031799720473963636,0.9479367722084806,0.040844113357202554,0.7373333333333334,0.0572091678744665,0.827829136325019,0.04006438916224161,0.04199999999991601,0.03477547028191705,0.7373333333318588,0.05720916787435206,0.0018650864760080483,0.00021226704663454503
pandabanker,0.9596666666666668,0.02523005262688834,0.9589956656635295,0.03310901636196083,0.9613333333333335,0.02825282680055612,0.9598171438068988,0.025043377296804035,0.04199999999991601,0.03477547028191705,0.9613333333314106,0.02825282680049961,0.0021198664506275958,0.0003225728385830204
pizd,0.5283333333333333,0.02367605447610636,0.729137159137159,0.18684363599795267,0.0986666666666667,0.03138293945583952,0.17185048134976807,0.049448163583614556,0.04199999999991601,0.03477547028191705,0.09866666666646932,0.03138293945577675,0.0018284687995910147,0.00016295211149089294
reconyc,0.9616666666666666,0.02281568661153013,0.9592507490055421,0.032629135990453625,0.9653333333333334,0.023055488621054113,0.9619566047040728,0.022384876017713603,0.04199999999991601,0.03477547028191705,0.9653333333314025,0.023055488621007987,0.002006580988566031,0.0003407150087003376
sharkbot,0.9789999999999999,0.01738773514099332,0.9607438693176762,0.03150343954753841,1.0,0.0,0.9797134017574144,0.01652966323704492,0.04199999999991601,0.03477547028191705,0.9999999999979999,0.0,0.001979811986287386,0.00040461179790170654
szribi,0.9193333333333332,0.027920522121829217,0.955481173016673,0.035776777681504064,0.8806666666666667,0.03741063425759521,0.9159862099804456,0.029091445865059826,0.04199999999991601,0.03477547028191705,0.8806666666649055,0.03741063425752039,0.0018400940100351476,0.0002543194150653539
torpig,0.9276666666666668,0.02261022384281547,0.9570453658045707,0.034083164640552,0.8973333333333333,0.04343065993307288,0.925126167947084,0.024214428644532212,0.04199999999991601,0.03477547028191705,0.8973333333315386,0.04343065993298602,0.0021159940560658277,0.00040879789156476616
tufik,0.9789999999999999,0.01738773514099332,0.9607438693176762,0.03150343954753841,1.0,0.0,0.9797134017574144,0.01652966323704492,0.04199999999991601,0.03477547028191705,0.9999999999979999,0.0,0.0018375735282897447,0.00017682225463822683
verblecon,0.9789999999999999,0.01738773514099332,0.9607438693176762,0.03150343954753841,1.0,0.0,0.9797134017574144,0.01652966323704492,0.04199999999991601,0.03477547028191705,0.9999999999979999,0.0,0.002296988248825025,0.0004122597453531705
wd,0.9789999999999999,0.01738773514099332,0.9607438693176762,0.03150343954753841,1.0,0.0,0.9797134017574144,0.01652966323704492,0.04199999999991601,0.03477547028191705,0.9999999999979999,0.0,0.0018295168081918854,0.00015952772722693472
xshellghost,0.9653333333333334,0.019618585292749544,0.9597599172057051,0.03222257667665087,0.9726666666666668,0.02159217965426888,0.9657497702114928,0.019017569844915833,0.04199999999991601,0.03477547028191705,0.9726666666647212,0.021592179654225663,0.0022458417415618407,0.0003956193624284673
GLOBAL_MEAN,0.8683066666666668,0.02394490741160714,0.8949945388193974,0.04923077252149264,0.7786133333333334,0.029648238136643634,0.804163470470836,0.029947884898313258,0.041999999999916014,0.03477547028191705,0.7786133333317761,0.029648238136584334,0.0020028948338826004,0.00029148770389402835
