Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bigviktor,0.9439537953795379,0.004973802120523041,0.04703908246710049,0.012187093283298622,0.24066666666666667,0.064803977930028,0.07858200739637673,0.020205994674165912,0.04901333333333235,0.005037442031648722,0.24066666666618533,0.0648039779298984,0.012588745353245452,0.0003695829492405375
gozi_rfc4343,0.9447392739273927,0.00509721416252325,0.06173664460963522,0.016053246361267915,0.32,0.08,0.10336971510980922,0.026421443393686482,0.04901333333333235,0.005037442031648722,0.31999999999935996,0.07999999999984,0.01237544415414132,9.753022849948979e-05
ngioweb,0.9441188118811881,0.005086809718071341,0.05036566427055618,0.012081990499023247,0.25733333333333336,0.056505653601112246,0.08413521271529788,0.019693262849915724,0.04901333333333235,0.005037442031648722,0.2573333333328186,0.05650565360099923,0.012454840047918086,0.00015733960157703747
pizd,0.9487854785478548,0.004888719066977307,0.13014321333854514,0.014408116885280469,0.7286666666666667,0.07036729038094017,0.2205994975658671,0.02286884077264743,0.04901333333333235,0.005037442031648722,0.7286666666652092,0.07036729038079943,0.012523662409766621,0.00023824459443085407
GLOBAL_MEAN,0.9453993399339933,0.005011636267023735,0.07232115117145926,0.013682611757217564,0.3866666666666667,0.06791923047802009,0.12167160819683774,0.02229738542260389,0.04901333333333235,0.005037442031648722,0.3866666666658933,0.06791923047788427,0.01248567299126787,0.0002156743434369797
