Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bigviktor,0.8908484848484847,0.010740960279782438,0.3546931629182716,0.0773570255639573,0.24066666666666667,0.064803977930028,0.2845341334332374,0.06603101640559544,0.04413333333332451,0.010262336749274672,0.24066666666618533,0.0648039779298984,0.01284940262996784,0.0010871432262077802
gozi_rfc4343,0.898060606060606,0.011411977983941642,0.42073981295218155,0.08207575925106399,0.32,0.08,0.3610187900914145,0.07650546912293446,0.04413333333332451,0.010262336749274672,0.31999999999935996,0.07999999999984,0.012879678249359084,0.0008228334544316756
ngioweb,0.8923636363636364,0.010083945180990575,0.37101428918184803,0.07145568846208421,0.25733333333333336,0.056505653601112246,0.3018128279963354,0.058576399943579105,0.04413333333332451,0.010262336749274672,0.2573333333328186,0.05650565360099923,0.01271951554038303,0.0007103144597067732
pizd,0.9352121212121212,0.010913971972004203,0.6260781109604722,0.05545913496808618,0.7286666666666667,0.07036729038094017,0.6715458982555023,0.05139905835859588,0.04413333333332451,0.010262336749274672,0.7286666666652092,0.07036729038079943,0.012948129018147736,0.0009157266398606613
GLOBAL_MEAN,0.9041212121212121,0.010787713854179714,0.4431313440031933,0.07158690206129792,0.3866666666666667,0.06791923047802009,0.40472791244412243,0.06312798595767623,0.04413333333332451,0.010262336749274672,0.3866666666658933,0.06791923047788427,0.012849181359464423,0.0008840044450517226
