Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bigviktor,0.882060606060606,0.010367711408651193,0.20349772960121182,0.08120973264756057,0.10066666666666668,0.04632733774157784,0.1334001818690303,0.0577542713356039,0.03979999999999204,0.010031284397654492,0.10066666666646532,0.046327337741485175,0.08736716594118056,0.003678033780702078
gozi_rfc4343,0.9358787878787879,0.011197533507763393,0.6388911385041223,0.0614357331480234,0.6926666666666665,0.06782002326419208,0.6627307247821578,0.054066781715706135,0.03979999999999204,0.010031284397654492,0.6926666666652814,0.06782002326405645,0.11084788952451759,0.01539011439778165
ngioweb,0.8832121212121211,0.01042018948695202,0.22206577187274748,0.09440928253023452,0.11333333333333336,0.04880801391392834,0.14884887220992885,0.0627841225564903,0.03979999999999204,0.010031284397654492,0.11333333333310666,0.04880801391383072,0.10699510915351632,0.01658735262711318
pizd,0.9252727272727272,0.010490452172183027,0.595524768165016,0.06231808602374824,0.5760000000000001,0.06858571279792898,0.5831310972805215,0.054859549236057015,0.03979999999999204,0.010031284397654492,0.575999999998848,0.0685857127977918,0.09155505743893706,0.012189783099755217
GLOBAL_MEAN,0.9066060606060606,0.01061897164388741,0.4149948520357744,0.07484320858739167,0.3706666666666667,0.057885271929406804,0.3820277190354096,0.05736618121096434,0.03979999999999204,0.010031284397654492,0.37066666666592535,0.057885271929291035,0.09919130551453788,0.011961320976338032
