Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bigviktor,0.9480858085808582,0.005147774339569915,0.02258534290783609,0.010082176608987225,0.10066666666666668,0.04632733774157784,0.03680723862880905,0.016410939269869845,0.04344,0.005296136956940093,0.10066666666666668,0.04632733774157784,0.13380859589498031,0.002609777098557505
gozi_rfc4343,0.9539471947194721,0.005150211280132037,0.13871311614950785,0.01700187797029396,0.6926666666666667,0.06782002326419208,0.2307509944253677,0.0256097828101639,0.04344,0.005296136956940093,0.6926666666666667,0.06782002326419208,0.1440471491546127,0.006818250331642394
ngioweb,0.9482112211221121,0.005283019214360374,0.025722928659824965,0.01150110033567733,0.11333333333333336,0.04880801391392834,0.04183576959872811,0.01845422679375928,0.04344,0.005296136956940093,0.11333333333333336,0.04880801391392834,0.1327783222607653,0.001470594011199608
pizd,0.9527920792079208,0.005306684394067797,0.11826809542059791,0.017698092705565462,0.5760000000000001,0.06858571279792898,0.19591809599423804,0.02728797796739448,0.04344,0.005296136956940093,0.5760000000000001,0.06858571279792898,0.13738634443440448,0.005246819149077564
GLOBAL_MEAN,0.9507590759075908,0.005221922307032531,0.0763223707844417,0.014070811905130994,0.3706666666666667,0.057885271929406804,0.12632802466178572,0.021940731710296875,0.04344,0.005296136956940093,0.3706666666666667,0.057885271929406804,0.1370051029361907,0.004036360147619268
