Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bigviktor,0.9549504950495049,0.005481668362562679,0.04439548483265799,0.015382921859811308,0.16933333333333334,0.055553777749332435,0.07011630172813564,0.0236245157427432,0.03719333333333259,0.00546881665038739,0.16933333333299463,0.055553777749221316,0.026627390305988027,0.00047780771175250737
gozi_rfc4343,0.9616831683168319,0.005380590716806552,0.18835260320878092,0.022674699114955756,0.8493333333333334,0.04697043987682276,0.30767893922947015,0.031366267795546666,0.03719333333333259,0.00546881665038739,0.8493333333316345,0.04697043987672883,0.02616341595130387,0.000251218253426778
ngioweb,0.9544092409240922,0.005517302980807755,0.030689575921154386,0.011578149895833815,0.1146666666666667,0.03896437118987322,0.0482801336073022,0.017709995842534704,0.03719333333333259,0.00546881665038739,0.11466666666643731,0.03896437118979529,0.026244738435587826,0.0003068300535059151
pizd,0.9614719471947194,0.005522038992799535,0.18469204305202885,0.025426268476362385,0.8280000000000001,0.056944417344166984,0.3014035044774955,0.036174121867656374,0.03719333333333259,0.00546881665038739,0.8279999999983441,0.056944417344053096,0.026038729980833807,0.0002631106019415219
GLOBAL_MEAN,0.9581287128712871,0.00547540026324413,0.11203242675365553,0.018765509836740815,0.4903333333333334,0.049608251540048845,0.18186971976060087,0.02721872531212024,0.03719333333333259,0.00546881665038739,0.4903333333323526,0.04960825153994963,0.02626856866842838,0.00032474165515668056
