Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bigviktor,0.8964242424242425,0.008001147759722407,0.3525580032699835,0.09695290190583505,0.16933333333333334,0.055553777749332435,0.2272240709614489,0.06823141671068773,0.030866666666660495,0.006505040780466993,0.16933333333299463,0.055553777749221316,0.028569656111977267,0.0019614452481704608
gozi_rfc4343,0.9582424242424241,0.008164740875991384,0.7351024276270663,0.04606983049501757,0.8493333333333334,0.04697043987682276,0.7873770144586314,0.03981222795728762,0.030866666666660495,0.006505040780466993,0.8493333333316345,0.04697043987672883,0.02782286912744691,0.00036350966111901476
ngioweb,0.8914545454545454,0.006707587907526069,0.27088225264630716,0.08065183603918319,0.1146666666666667,0.03896437118987322,0.15995763849090636,0.050574281642994816,0.030866666666660495,0.006505040780466993,0.11466666666643731,0.03896437118979529,0.027847924853816132,0.0004907636946070741
pizd,0.9563030303030302,0.006954925057310159,0.7304731775819716,0.041807117106759856,0.8280000000000001,0.056944417344166984,0.7748159572004746,0.03594359717365221,0.030866666666660495,0.006505040780466993,0.8279999999983441,0.056944417344053096,0.027723447611837627,0.0004684848917329795
GLOBAL_MEAN,0.9256060606060605,0.007457100400137504,0.5222539652813322,0.06637042138669891,0.4903333333333334,0.049608251540048845,0.4873436702778653,0.0486403808711556,0.030866666666660495,0.006505040780466993,0.4903333333323526,0.04960825153994963,0.02799097442626948,0.0008210508739073823
